INDICATOR,SCORE,DATE,COUNTY,FOLLOW_UP
county hook,2.5,12/12/2021,Nairobi,3rd
coordination,2.5,12/12/2021,Nairobi,3rd
stakeholder mapping,2.5,12/12/2021,Nairobi,3rd
Internal Co-ordination (MSH),2.5,12/12/2021,Nairobi,3rd
Physical Space ,2.5,12/12/2021,Nairobi,3rd
ICT Infrastructure,2.5,12/12/2021,Nairobi,3rd
Daily Operations,2.5,12/12/2021,Nairobi,3rd
SOPs,2.5,12/12/2021,Nairobi,3rd
Human Resources,2.5,12/12/2021,Nairobi,3rd
Training & Exercises,2.5,12/12/2021,Nairobi,3rd
One Health,2.5,12/12/2021,Nairobi,3rd
Surveillance,2.5,12/12/2021,Nairobi,3rd
Data Visualization & use,2.5,12/12/2021,Nairobi,3rd
Reporting and external communication,2.5,12/12/2021,Nairobi,3rd
Emergency Preparedness,2.5,12/12/2021,Nairobi,3rd
county hook,2.2,12/12/2021,Kiambu,3rd
coordination,2.2,12/12/2021,Kiambu,3rd
stakeholder mapping,2.2,12/12/2021,Kiambu,3rd
Internal Co-ordination (MSH),2.2,12/12/2021,Kiambu,3rd
Physical Space ,2.2,12/12/2021,Kiambu,3rd
ICT Infrastructure,2.2,12/12/2021,Kiambu,3rd
Daily Operations,2.2,12/12/2021,Kiambu,3rd
SOPs,2.2,12/12/2021,Kiambu,3rd
Human Resources,2.2,12/12/2021,Kiambu,3rd
Training & Exercises,2.2,12/12/2021,Kiambu,3rd
One Health,2.2,12/12/2021,Kiambu,3rd
Surveillance,2.2,12/12/2021,Kiambu,3rd
Data Visualization & use,2.2,12/12/2021,Kiambu,3rd
Reporting and external communication,2.2,12/12/2021,Kiambu,3rd
Emergency Preparedness,2.2,12/12/2021,Kiambu,3rd
county hook,2,12/12/2021,Migori,3rd
coordination,2,12/12/2021,Migori,3rd
stakeholder mapping,2,12/12/2021,Migori,3rd
Internal Co-ordination (MSH),2,12/12/2021,Migori,3rd
Physical Space ,2,12/12/2021,Migori,3rd
ICT Infrastructure,2,12/12/2021,Migori,3rd
Daily Operations,2,12/12/2021,Migori,3rd
SOPs,2,12/12/2021,Migori,3rd
Human Resources,2,12/12/2021,Migori,3rd
Training & Exercises,2,12/12/2021,Migori,3rd
One Health,2,12/12/2021,Migori,3rd
Surveillance,2,12/12/2021,Migori,3rd
Data Visualization & use,2,12/12/2021,Migori,3rd
Reporting and external communication,2,12/12/2021,Migori,3rd
Emergency Preparedness,2,12/12/2021,Migori,3rd
county hook,1.6,12/12/2021,Mombasa,3rd
coordination,1.6,12/12/2021,Mombasa,3rd
stakeholder mapping,1.6,12/12/2021,Mombasa,3rd
Internal Co-ordination (MSH),1.6,12/12/2021,Mombasa,3rd
Physical Space ,1.6,12/12/2021,Mombasa,3rd
ICT Infrastructure,1.6,12/12/2021,Mombasa,3rd
Daily Operations,1.6,12/12/2021,Mombasa,3rd
SOPs,1.6,12/12/2021,Mombasa,3rd
Human Resources,1.6,12/12/2021,Mombasa,3rd
Training & Exercises,1.6,12/12/2021,Mombasa,3rd
One Health,1.6,12/12/2021,Mombasa,3rd
Surveillance,1.6,12/12/2021,Mombasa,3rd
Data Visualization & use,1.6,12/12/2021,Mombasa,3rd
Reporting and external communication,1.6,12/12/2021,Mombasa,3rd
Emergency Preparedness,1.6,12/12/2021,Mombasa,3rd
county hook,1.5,12/12/2021,Marsabit,3rd
coordination,1.5,12/12/2021,Marsabit,3rd
stakeholder mapping,1.5,12/12/2021,Marsabit,3rd
Internal Co-ordination (MSH),1.5,12/12/2021,Marsabit,3rd
Physical Space ,1.5,12/12/2021,Marsabit,3rd
ICT Infrastructure,1.5,12/12/2021,Marsabit,3rd
Daily Operations,1.5,12/12/2021,Marsabit,3rd
SOPs,1.5,12/12/2021,Marsabit,3rd
Human Resources,1.5,12/12/2021,Marsabit,3rd
Training & Exercises,1.5,12/12/2021,Marsabit,3rd
One Health,1.5,12/12/2021,Marsabit,3rd
Surveillance,1.5,12/12/2021,Marsabit,3rd
Data Visualization & use,1.5,12/12/2021,Marsabit,3rd
Reporting and external communication,1.5,12/12/2021,Marsabit,3rd
Emergency Preparedness,1.5,12/12/2021,Marsabit,3rd
county hook,1.7,12/12/2021,Kisumu,3rd
coordination,1.7,12/12/2021,Kisumu,3rd
stakeholder mapping,1.7,12/12/2021,Kisumu,3rd
Internal Co-ordination (MSH),1.7,12/12/2021,Kisumu,3rd
Physical Space ,1.7,12/12/2021,Kisumu,3rd
ICT Infrastructure,1.7,12/12/2021,Kisumu,3rd
Daily Operations,1.7,12/12/2021,Kisumu,3rd
SOPs,1.7,12/12/2021,Kisumu,3rd
Human Resources,1.7,12/12/2021,Kisumu,3rd
Training & Exercises,1.7,12/12/2021,Kisumu,3rd
One Health,1.7,12/12/2021,Kisumu,3rd
Surveillance,1.7,12/12/2021,Kisumu,3rd
Data Visualization & use,1.7,12/12/2021,Kisumu,3rd
Reporting and external communication,1.7,12/12/2021,Kisumu,3rd
Emergency Preparedness,1.7,12/12/2021,Kisumu,3rd
county hook,1.7,12/12/2021,Kisii,3rd
coordination,1.7,12/12/2021,Kisii,3rd
stakeholder mapping,1.7,12/12/2021,Kisii,3rd
Internal Co-ordination (MSH),1.7,12/12/2021,Kisii,3rd
Physical Space ,1.7,12/12/2021,Kisii,3rd
ICT Infrastructure,1.7,12/12/2021,Kisii,3rd
Daily Operations,1.7,12/12/2021,Kisii,3rd
SOPs,1.7,12/12/2021,Kisii,3rd
Human Resources,1.7,12/12/2021,Kisii,3rd
Training & Exercises,1.7,12/12/2021,Kisii,3rd
One Health,1.7,12/12/2021,Kisii,3rd
Surveillance,1.7,12/12/2021,Kisii,3rd
Data Visualization & use,1.7,12/12/2021,Kisii,3rd
Reporting and external communication,1.7,12/12/2021,Kisii,3rd
Emergency Preparedness,1.7,12/12/2021,Kisii,3rd
county hook,2.3,12/12/2021,Busia,3rd
coordination,2.3,12/12/2021,Busia,3rd
stakeholder mapping,2.3,12/12/2021,Busia,3rd
Internal Co-ordination (MSH),2.3,12/12/2021,Busia,3rd
Physical Space ,2.3,12/12/2021,Busia,3rd
ICT Infrastructure,2.3,12/12/2021,Busia,3rd
Daily Operations,2.3,12/12/2021,Busia,3rd
SOPs,2.3,12/12/2021,Busia,3rd
Human Resources,2.3,12/12/2021,Busia,3rd
Training & Exercises,2.3,12/12/2021,Busia,3rd
One Health,2.3,12/12/2021,Busia,3rd
Surveillance,2.3,12/12/2021,Busia,3rd
Data Visualization & use,2.3,12/12/2021,Busia,3rd
Reporting and external communication,2.3,12/12/2021,Busia,3rd
Emergency Preparedness,2.3,12/12/2021,Busia,3rd
county hook,2,12/12/2021,Garissa,3rd
coordination,2,12/12/2021,Garissa,3rd
stakeholder mapping,2,12/12/2021,Garissa,3rd
Internal Co-ordination (MSH),2,12/12/2021,Garissa,3rd
Physical Space ,2,12/12/2021,Garissa,3rd
ICT Infrastructure,2,12/12/2021,Garissa,3rd
Daily Operations,2,12/12/2021,Garissa,3rd
SOPs,2,12/12/2021,Garissa,3rd
Human Resources,2,12/12/2021,Garissa,3rd
Training & Exercises,2,12/12/2021,Garissa,3rd
One Health,2,12/12/2021,Garissa,3rd
Surveillance,2,12/12/2021,Garissa,3rd
Data Visualization & use,2,12/12/2021,Garissa,3rd
Reporting and external communication,2,12/12/2021,Garissa,3rd
Emergency Preparedness,2,12/12/2021,Garissa,3rd
county hook,1.8,12/12/2021,Kirinyaga,3rd
coordination,1.8,12/12/2021,Kirinyaga,3rd
stakeholder mapping,1.8,12/12/2021,Kirinyaga,3rd
Internal Co-ordination (MSH),1.8,12/12/2021,Kirinyaga,3rd
Physical Space ,1.8,12/12/2021,Kirinyaga,3rd
ICT Infrastructure,1.8,12/12/2021,Kirinyaga,3rd
Daily Operations,1.8,12/12/2021,Kirinyaga,3rd
SOPs,1.8,12/12/2021,Kirinyaga,3rd
Human Resources,1.8,12/12/2021,Kirinyaga,3rd
Training & Exercises,1.8,12/12/2021,Kirinyaga,3rd
One Health,1.8,12/12/2021,Kirinyaga,3rd
Surveillance,1.8,12/12/2021,Kirinyaga,3rd
Data Visualization & use,1.8,12/12/2021,Kirinyaga,3rd
Reporting and external communication,1.8,12/12/2021,Kirinyaga,3rd
Emergency Preparedness,1.8,12/12/2021,Kirinyaga,3rd
county hook,2,12/12/2021,Nakuru,3rd
coordination,2.1,12/12/2021,Nakuru,3rd
stakeholder mapping,2,12/12/2021,Nakuru,3rd
Internal Co-ordination (MSH),2.1,12/12/2021,Nakuru,3rd
Physical Space ,2.1,12/12/2021,Nakuru,3rd
ICT Infrastructure,2.12,12/12/2021,Nakuru,3rd
Daily Operations,2.14,12/12/2021,Nakuru,3rd
SOPs,2.16,12/12/2021,Nakuru,3rd
Human Resources,2.18,12/12/2021,Nakuru,3rd
Training & Exercises,2.2,12/12/2021,Nakuru,3rd
One Health,2.22,12/12/2021,Nakuru,3rd
Surveillance,2.24,12/12/2021,Nakuru,3rd
Data Visualization & use,2.26,12/12/2021,Nakuru,3rd
Reporting and external communication,2.28,12/12/2021,Nakuru,3rd
Emergency Preparedness,2.3,12/12/2021,Nakuru,3rd
county hook,2.4,12/12/2021,Muranga,3rd
coordination,2.4,12/12/2021,Muranga,3rd
stakeholder mapping,2.4,12/12/2021,Muranga,3rd
Internal Co-ordination (MSH),2.4,12/12/2021,Muranga,3rd
Physical Space ,2.4,12/12/2021,Muranga,3rd
ICT Infrastructure,2.4,12/12/2021,Muranga,3rd
Daily Operations,2.4,12/12/2021,Muranga,3rd
SOPs,2.4,12/12/2021,Muranga,3rd
Human Resources,2.4,12/12/2021,Muranga,3rd
Training & Exercises,2.4,12/12/2021,Muranga,3rd
One Health,2.4,12/12/2021,Muranga,3rd
Surveillance,2.4,12/12/2021,Muranga,3rd
Data Visualization & use,2.4,12/12/2021,Muranga,3rd
Reporting and external communication,2.4,12/12/2021,Muranga,3rd
Emergency Preparedness,2.4,12/12/2021,Muranga,3rd
county hook,2.7,12/11/2021,Nairobi,2nd
coordination,2.7,12/11/2021,Nairobi,2nd
stakeholder mapping,2.7,12/11/2021,Nairobi,2nd
Internal Co-ordination (MSH),2.7,12/11/2021,Nairobi,2nd
Physical Space ,2.7,12/11/2021,Nairobi,2nd
ICT Infrastructure,2.7,12/11/2021,Nairobi,2nd
Daily Operations,2.7,12/11/2021,Nairobi,2nd
SOPs,2.7,12/11/2021,Nairobi,2nd
Human Resources,2.7,12/11/2021,Nairobi,2nd
Training & Exercises,2.7,12/11/2021,Nairobi,2nd
One Health,2.7,12/11/2021,Nairobi,2nd
Surveillance,2.7,12/11/2021,Nairobi,2nd
Data Visualization & use,2.7,12/11/2021,Nairobi,2nd
Reporting and external communication,2.7,12/11/2021,Nairobi,2nd
Emergency Preparedness,2.7,12/11/2021,Nairobi,2nd
county hook,2,12/11/2021,Kiambu,2nd
coordination,2,12/11/2021,Kiambu,2nd
stakeholder mapping,2,12/11/2021,Kiambu,2nd
Internal Co-ordination (MSH),2,12/11/2021,Kiambu,2nd
Physical Space ,2,12/11/2021,Kiambu,2nd
ICT Infrastructure,2,12/11/2021,Kiambu,2nd
Daily Operations,2,12/11/2021,Kiambu,2nd
SOPs,2,12/11/2021,Kiambu,2nd
Human Resources,2,12/11/2021,Kiambu,2nd
Training & Exercises,2,12/11/2021,Kiambu,2nd
One Health,2,12/11/2021,Kiambu,2nd
Surveillance,2,12/11/2021,Kiambu,2nd
Data Visualization & use,2,12/11/2021,Kiambu,2nd
Reporting and external communication,2,12/11/2021,Kiambu,2nd
Emergency Preparedness,2,12/11/2021,Kiambu,2nd
county hook,2.1,12/11/2021,Migori,2nd
coordination,2.1,12/11/2021,Migori,2nd
stakeholder mapping,2.1,12/11/2021,Migori,2nd
Internal Co-ordination (MSH),2.1,12/11/2021,Migori,2nd
Physical Space ,2.1,12/11/2021,Migori,2nd
ICT Infrastructure,2.1,12/11/2021,Migori,2nd
Daily Operations,2.1,12/11/2021,Migori,2nd
SOPs,2.1,12/11/2021,Migori,2nd
Human Resources,2.1,12/11/2021,Migori,2nd
Training & Exercises,2.1,12/11/2021,Migori,2nd
One Health,2.1,12/11/2021,Migori,2nd
Surveillance,2.1,12/11/2021,Migori,2nd
Data Visualization & use,2.1,12/11/2021,Migori,2nd
Reporting and external communication,2.1,12/11/2021,Migori,2nd
Emergency Preparedness,2.1,12/11/2021,Migori,2nd
county hook,1.5,12/11/2021,Mombasa,2nd
coordination,1.5,12/11/2021,Mombasa,2nd
stakeholder mapping,1.5,12/11/2021,Mombasa,2nd
Internal Co-ordination (MSH),1.5,12/11/2021,Mombasa,2nd
Physical Space ,1.5,12/11/2021,Mombasa,2nd
ICT Infrastructure,1.5,12/11/2021,Mombasa,2nd
Daily Operations,1.5,12/11/2021,Mombasa,2nd
SOPs,1.5,12/11/2021,Mombasa,2nd
Human Resources,1.5,12/11/2021,Mombasa,2nd
Training & Exercises,1.5,12/11/2021,Mombasa,2nd
One Health,1.5,12/11/2021,Mombasa,2nd
Surveillance,1.5,12/11/2021,Mombasa,2nd
Data Visualization & use,1.5,12/11/2021,Mombasa,2nd
Reporting and external communication,1.5,12/11/2021,Mombasa,2nd
Emergency Preparedness,1.5,12/11/2021,Mombasa,2nd
county hook,1.4,12/11/2021,Marsabit,2nd
coordination,1.4,12/11/2021,Marsabit,2nd
stakeholder mapping,1.4,12/11/2021,Marsabit,2nd
Internal Co-ordination (MSH),1.4,12/11/2021,Marsabit,2nd
Physical Space ,1.4,12/11/2021,Marsabit,2nd
ICT Infrastructure,1.4,12/11/2021,Marsabit,2nd
Daily Operations,1.4,12/11/2021,Marsabit,2nd
SOPs,1.4,12/11/2021,Marsabit,2nd
Human Resources,1.4,12/11/2021,Marsabit,2nd
Training & Exercises,1.4,12/11/2021,Marsabit,2nd
One Health,1.4,12/11/2021,Marsabit,2nd
Surveillance,1.4,12/11/2021,Marsabit,2nd
Data Visualization & use,1.4,12/11/2021,Marsabit,2nd
Reporting and external communication,1.4,12/11/2021,Marsabit,2nd
Emergency Preparedness,1.4,12/11/2021,Marsabit,2nd
county hook,1.8,12/11/2021,Kisumu,2nd
coordination,1.8,12/11/2021,Kisumu,2nd
stakeholder mapping,1.8,12/11/2021,Kisumu,2nd
Internal Co-ordination (MSH),1.8,12/11/2021,Kisumu,2nd
Physical Space ,1.8,12/11/2021,Kisumu,2nd
ICT Infrastructure,1.8,12/11/2021,Kisumu,2nd
Daily Operations,1.8,12/11/2021,Kisumu,2nd
SOPs,1.8,12/11/2021,Kisumu,2nd
Human Resources,1.8,12/11/2021,Kisumu,2nd
Training & Exercises,1.8,12/11/2021,Kisumu,2nd
One Health,1.8,12/11/2021,Kisumu,2nd
Surveillance,1.8,12/11/2021,Kisumu,2nd
Data Visualization & use,1.8,12/11/2021,Kisumu,2nd
Reporting and external communication,1.8,12/11/2021,Kisumu,2nd
Emergency Preparedness,1.8,12/11/2021,Kisumu,2nd
county hook,1.8,12/11/2021,Kisii,2nd
coordination,1.8,12/11/2021,Kisii,2nd
stakeholder mapping,1.8,12/11/2021,Kisii,2nd
Internal Co-ordination (MSH),1.8,12/11/2021,Kisii,2nd
Physical Space ,1.8,12/11/2021,Kisii,2nd
ICT Infrastructure,1.8,12/11/2021,Kisii,2nd
Daily Operations,1.8,12/11/2021,Kisii,2nd
SOPs,1.8,12/11/2021,Kisii,2nd
Human Resources,1.8,12/11/2021,Kisii,2nd
Training & Exercises,1.8,12/11/2021,Kisii,2nd
One Health,1.8,12/11/2021,Kisii,2nd
Surveillance,1.8,12/11/2021,Kisii,2nd
Data Visualization & use,1.8,12/11/2021,Kisii,2nd
Reporting and external communication,1.8,12/11/2021,Kisii,2nd
Emergency Preparedness,1.8,12/11/2021,Kisii,2nd
county hook,2.2,12/11/2021,Busia,2nd
coordination,2.2,12/11/2021,Busia,2nd
stakeholder mapping,2.2,12/11/2021,Busia,2nd
Internal Co-ordination (MSH),2.2,12/11/2021,Busia,2nd
Physical Space ,2.2,12/11/2021,Busia,2nd
ICT Infrastructure,2.2,12/11/2021,Busia,2nd
Daily Operations,2.2,12/11/2021,Busia,2nd
SOPs,2.2,12/11/2021,Busia,2nd
Human Resources,2.2,12/11/2021,Busia,2nd
Training & Exercises,2.2,12/11/2021,Busia,2nd
One Health,2.2,12/11/2021,Busia,2nd
Surveillance,2.2,12/11/2021,Busia,2nd
Data Visualization & use,2.2,12/11/2021,Busia,2nd
Reporting and external communication,2.2,12/11/2021,Busia,2nd
Emergency Preparedness,2.2,12/11/2021,Busia,2nd
county hook,2.1,12/11/2021,Garissa,2nd
coordination,2.1,12/11/2021,Garissa,2nd
stakeholder mapping,2.1,12/11/2021,Garissa,2nd
Internal Co-ordination (MSH),2.1,12/11/2021,Garissa,2nd
Physical Space ,2.1,12/11/2021,Garissa,2nd
ICT Infrastructure,2.1,12/11/2021,Garissa,2nd
Daily Operations,2.1,12/11/2021,Garissa,2nd
SOPs,2.1,12/11/2021,Garissa,2nd
Human Resources,2.1,12/11/2021,Garissa,2nd
Training & Exercises,2.1,12/11/2021,Garissa,2nd
One Health,2.1,12/11/2021,Garissa,2nd
Surveillance,2.1,12/11/2021,Garissa,2nd
Data Visualization & use,2.1,12/11/2021,Garissa,2nd
Reporting and external communication,2.1,12/11/2021,Garissa,2nd
Emergency Preparedness,2.1,12/11/2021,Garissa,2nd
county hook,1.9,12/11/2021,Kirinyaga,2nd
coordination,1.9,12/11/2021,Kirinyaga,2nd
stakeholder mapping,1.9,12/11/2021,Kirinyaga,2nd
Internal Co-ordination (MSH),1.9,12/11/2021,Kirinyaga,2nd
Physical Space ,1.9,12/11/2021,Kirinyaga,2nd
ICT Infrastructure,1.9,12/11/2021,Kirinyaga,2nd
Daily Operations,1.9,12/11/2021,Kirinyaga,2nd
SOPs,1.9,12/11/2021,Kirinyaga,2nd
Human Resources,1.9,12/11/2021,Kirinyaga,2nd
Training & Exercises,1.9,12/11/2021,Kirinyaga,2nd
One Health,1.9,12/11/2021,Kirinyaga,2nd
Surveillance,1.9,12/11/2021,Kirinyaga,2nd
Data Visualization & use,1.9,12/11/2021,Kirinyaga,2nd
Reporting and external communication,1.9,12/11/2021,Kirinyaga,2nd
Emergency Preparedness,1.9,12/11/2021,Kirinyaga,2nd
county hook,1.9,12/11/2021,Nakuru,2nd
coordination,1.8,12/11/2021,Nakuru,2nd
stakeholder mapping,1.9,12/11/2021,Nakuru,2nd
Internal Co-ordination (MSH),2,12/11/2021,Nakuru,2nd
Physical Space ,1.9,12/11/2021,Nakuru,2nd
ICT Infrastructure,1.8,12/11/2021,Nakuru,2nd
Daily Operations,1.873333333,12/11/2021,Nakuru,2nd
SOPs,1.87047619,12/11/2021,Nakuru,2nd
Human Resources,1.867619048,12/11/2021,Nakuru,2nd
Training & Exercises,1.864761905,12/11/2021,Nakuru,2nd
One Health,1.861904762,12/11/2021,Nakuru,2nd
Surveillance,1.859047619,12/11/2021,Nakuru,2nd
Data Visualization & use,1.856190476,12/11/2021,Nakuru,2nd
Reporting and external communication,1.853333333,12/11/2021,Nakuru,2nd
Emergency Preparedness,1.85047619,12/11/2021,Nakuru,2nd
county hook,1.7,12/11/2021,Muranga,2nd
coordination,1.7,12/11/2021,Muranga,2nd
stakeholder mapping,1.7,12/11/2021,Muranga,2nd
Internal Co-ordination (MSH),1.7,12/11/2021,Muranga,2nd
Physical Space ,1.7,12/11/2021,Muranga,2nd
ICT Infrastructure,1.7,12/11/2021,Muranga,2nd
Daily Operations,1.7,12/11/2021,Muranga,2nd
SOPs,1.7,12/11/2021,Muranga,2nd
Human Resources,1.7,12/11/2021,Muranga,2nd
Training & Exercises,1.7,12/11/2021,Muranga,2nd
One Health,1.7,12/11/2021,Muranga,2nd
Surveillance,1.7,12/11/2021,Muranga,2nd
Data Visualization & use,1.7,12/11/2021,Muranga,2nd
Reporting and external communication,1.7,12/11/2021,Muranga,2nd
Emergency Preparedness,1.7,12/11/2021,Muranga,2nd
county hook,2.5,12/10/2021,Nairobi,1st
coordination,2.5,12/10/2021,Nairobi,1st
stakeholder mapping,2.5,12/10/2021,Nairobi,1st
Internal Co-ordination (MSH),2.5,12/10/2021,Nairobi,1st
Physical Space ,2.5,12/10/2021,Nairobi,1st
ICT Infrastructure,2.5,12/10/2021,Nairobi,1st
Daily Operations,2.5,12/10/2021,Nairobi,1st
SOPs,2.5,12/10/2021,Nairobi,1st
Human Resources,2.5,12/10/2021,Nairobi,1st
